rank_id,player_id,total_points,total_games,points_per_game,three_points_goals,free_shots,field_goals
1,1,39201,1443,27,2311,8178,14356
2,2,38387,1560,25,1,6712,15837
3,3,36928,1476,25,85,9787,13528
4,4,33643,1346,25,1827,8378,11719
5,5,32292,1072,30,581,7327,12192
6,6,31560,1522,21,1982,7240,11169
7,7,31419,1045,30,0,6057,12681
8,8,28596,1207,24,1,5935,11330
9,9,28289,1260,23,1731,6320,10119
10,10,27481,1005,27,1907,6772,9401
11,11,27409,1329,21,8,8531,9435
12,12,27313,1303,21,5,5356,10976
13,13,26946,1238,22,25,5423,10749
14,14,26710,1040,26,0,7694,9508
15,15,26668,1074,25,711,6031,9963
16,16,26496,1392,19,30,5896,10285
17,17,26397,1343,20,2143,6918,8668
18,18,26395,1270,21,0,5369,10513
19,19,26071,1462,18,174,4887,10505
20,20,25728,1541,17,2290,4852,9293
21,21,25613,1193,22,18,4277,10659
22,22,25279,1389,18,2560,6237,8241
23,23,25192,932,27,0,7160,9016
24,24,24945,1016,25,2792,7421,7366
25,25,24815,1183,21,19,5392,9702
26,26,24699,1115,22,1246,5753,8850
27,27,24505,1300,19,2973,4398,8567
28,28,24368,914,27,1059,6375,8467
29,29,23757,1073,22,538,6349,8435
30,30,23334,1611,15,0,4106,9614
31,31,23177,955,24,7,6832,8169
32,32,23165,1054,22,549,5708,8454
33,33,23149,846,27,0,5763,8693
34,34,22300,902,25,3492,3582,7613
35,35,22195,1086,20,827,4698,8335
36,36,22142,1052,21,475,5767,7950
37,37,21918,1233,18,1663,4755,7750
38,38,21813,1335,16,1132,3265,8708
39,39,21791,897,24,649,3960,8591
40,40,21586,1122,19,0,4578,8504
41,41,20941,1043,20,0,5113,7914
42,42,20894,1226,17,179,4755,7980
43,43,20880,792,26,0,6182,7349
44,44,20790,987,21,25,6035,7365
45,45,20708,791,26,77,4541,8045
46,46,20558,1076,19,227,3709,8311
47,47,20497,976,21,1326,4561,7305
48,48,20407,1277,16,1978,2783,7823
49,49,20049,1107,18,227,5066,7378
50,50,20042,1083,19,1163,3521,7679
