team_name,team_id
Atlanta Hawks,1
Baltimore/Capital/Washington Bullets,2
Boston Celtics,3
Brooklyn Nets,4
Buffalo Braves,5
Charlotte Hornets,6
Chicago Bulls,7
Chicago Packers/Zephyrs/Baltimore Bullets,8
Cincinnati Royals,9
Cleveland Cavaliers,10
Dallas Mavericks,11
Denver Nuggets,12
Detroit Pistons,13
Golden State Warriors,14
Houston Rockets,15
Indiana Pacers,16
Los Angeles Clippers,17
Los Angeles Lakers,18
Memphis Grizzlies,19
Miami Heat,20
Milwaukee Bucks,21
Milwaukee/St. Louis Hawks,22
Minneapolis/Los Angeles Lakers,23
Minnesota Timberwolves,24
New Jersey Nets,25
New Orleans Hornets,26
New Orleans Jazz,27
New York Knicks,28
Oklahoma City Thunder,29
Orlando Magic,30
Philadelphia 76ers,31
Philadelphia/San Francisco Warriors,32
Phoenix Suns,33
Portland Trail Blazers,34
Sacramento Kings,35
San Antonio Spurs,36
San Diego Clippers,37
San Diego/Houston Rockets,38
Seattle SuperSonics,39
Seattle SuperSonics/Oklahoma City Thunder,40
Syracuse Nationals/Philadelphia 76ers,41
Toronto Raptors,42
Utah Jazz,43
Washington Bullets,44
Washington Wizards,45
